# PARTITION.tsv - what may be published and what is held.
#
# Douglas set the rule on 2026-09-11: "all of our continuing crypto work is not for the general
# public it wouldnt do anyone any good." The default is therefore HELD, and PUBLIC is the exception
# that has to be argued for. An artifact absent from this file is HELD, because a manifest that
# treats an unlisted file as publishable turns every new document into a leak by default.
#
# HE NARROWED IT THE SAME DAY: "dont include any advantage research, that gives away our advantage.
# precision fair." That draws the line somewhere other than crypto-versus-not. Held is whatever IS
# the advantage, meaning what the engine is pointed at and what was found by pointing it. Fair is the
# precision work itself, because general-purpose arithmetic does not reveal what it is aimed at.
#
# CLASSES
#   PUBLIC    Already published in anchor_sift/theory. Leave where it is.
#   EXTERNAL  Cleared for publication under "precision fair" and not yet out. Ranks with PUBLIC in
#             check_partition.py, since neither constrains a book. Kept distinct from PUBLIC so that
#             "cleared but unpublished" is counted instead of assumed.
#   HELD      Not for the general public. Builds into a held book only.
#
# PENDING IS GONE, AND ITS ROWS ARE NOW HELD. It existed for nine documents whose method is generic
# while every worked example is SHA-256. Under the narrowed rule the examples decide it: a document
# teaching a method through the advantage work carries the advantage. Extracting the generic method
# into something publishable is a new document somebody writes deliberately, and never a
# reclassification of these.
#
# The reclassification moved every undecided row in the fail-closed direction, which needed no
# ruling. The precision work is fair under the narrowed rule and is classified EXTERNAL, which
# Douglas confirmed directly rather than this session inferring it.
#
# TWO GATES, BOTH OF WHICH MUST PASS BEFORE ANYTHING IS EXTERNAL
#
# Douglas set the second one on 2026-09-11, and it is not a restatement of the first:
#
#   "anything that wont give away advantages that we are keeping internal I will share this with
#    other scientists but it would fuck the btc ecosystem up and even though I dont like or approve
#    of it I think thats wrong because people I dont know depend on it"
#
#   GATE 1, ADVANTAGE. Does releasing it give away what the engine is pointed at, or what was found
#                      by pointing it? If yes, HELD. Subject column reads "advantage" or the domain.
#
#   GATE 2, HARM.      Would releasing it damage the people who depend on the network? If yes, HELD,
#                      EVEN WHERE GATE 1 CLEARS IT. Subject column reads "ecosystem".
#
# GATE 2 CAN HOLD SOMETHING GATE 1 RELEASES, and that is the entire reason it is written separately.
# A result can be no advantage to us at all - a structural weakness anybody could rediscover, a
# finding we have no way to use - and still be the wrong thing to hand out, because the cost falls
# on people who never chose to take the risk and are not party to any of this.
#
# The reverse does not hold. Gate 2 never releases anything gate 1 holds. An advantage stays held
# whether or not publishing it would harm anyone.
#
# HOW TO APPLY GATE 2 WITHOUT IT SWALLOWING THE TREE. It asks about the standard and the network,
# never about this repository's fortunes. Publishing the FIPS 180-4 compression function harms
# nobody: it is the specification, implemented correctly, and a tool that regrades every copy of its
# constant table against the primes makes a corrupted table easier to catch rather than harder.
# Publishing interior structure that narrows the search is the case gate 2 exists for.
#
# A NOTE ON WHAT THE SHA-256 RESEARCH ACTUALLY FOUND, since it bears on gate 2 and reads backwards
# otherwise. The transform workbook's hypotheses came back null: survivor counts track the cost
# model exactly, no bit or byte position departs from flat, and the standing constraint is that no
# projection over the digest can reduce the number of evaluations at all. Those results are held
# under gate 1, as method and instruments, and not because they weaken anything.
#
# COLUMNS   path  class  subject  reason
#
# Owner: dstroy0 (Douglas Quigg) <dquigg123@gmail.com>
# Written by the research assistant session, 2026-09-11. Every class below is either quoted from
# Douglas's rule or defaulted to HELD. Nothing was promoted on this session's own judgment.
path	class	subject	reason
# THE PRECISION BOOK, AND IT IS THE PROMOTION CANDIDATE. Sits outside theory/held/ because the
# narrowed rule calls precision work fair: nothing in it names SHA-256, a header, a pool, a nonce or
# a corpus. It is Proth certificates, the order of a root of unity, and the group law on a twiddle
# table with the counterexample showing that law is not sufficient.
#
# WRITTEN HELD, NOW EXTERNAL. This session first held the book, because the narrowed rule had arrived
# as another session's reading and promotion is the direction that can leak. Douglas has since
# confirmed it directly, and the rows carry his clearance rather than anyone's reading of it.
#
# The class also has to match the source. docs/twiddle-proof.md is EXTERNAL, and a chapter is the
# same content as the document it was transcribed from, so holding the transcription while its source
# is cleared would classify the file instead of the content. If twiddle-proof.md is ever found to be
# wrongly EXTERNAL, both rows are wrong together, which is the correct coupling and the easier thing
# to find.
# ---------------------------------------------------------------------------------------------
theory/precision/main.tex	EXTERNAL	book	The precision book. Cleared by Douglas: precision fair, and the buckets sorted.
theory/precision/frontmatter/titlepage.tex	EXTERNAL	precision	Title page of the precision book.
theory/precision/chapters/chapter_twiddle_proof.tex	EXTERNAL	precision	From twiddle-proof.md, which is EXTERNAL. Pure number theory and the arithmetic under it.
theory/precision/chapters/chapter_relation_search.tex	EXTERNAL	precision	The relation search scaling, precision^2.64, and why the card cannot help it. Every unit arithmetic.

# ---------------------------------------------------------------------------------------------
# SHARED LAYOUT. Carries no measurement and no claim, and every one is already published as part of
# anchor_sift. Classified PUBLIC so the gate does not report the layout as a leak in every book.
# ---------------------------------------------------------------------------------------------
theory/preamble.tex	PUBLIC	layout	Symlink into anchor_sift. Fonts, theorem styles, table geometry.
theory/macros.tex	PUBLIC	layout	Symlink into anchor_sift. Math shorthand.
theory/cryptography/macros.tex	PUBLIC	layout	Symlink into anchor_sift. Cryptography shorthand.

# ---------------------------------------------------------------------------------------------
# CHAPTERS, PUBLISHED SIX. The anchor_sift copies are public. The BTC copies are not the same
# files: all six have drifted, and two carry material the published versions have never held.
# ---------------------------------------------------------------------------------------------
theory/cryptography/sha256/frontmatter/titlepage.tex	HELD	sha256	Title page of the held book.
theory/cryptography/sha256/chapters/chapter_against_the_field.tex	HELD	sha256	Drifted 12 lines from the published copy. Prose gate only, no new claim.
theory/cryptography/sha256/chapters/chapter_chain.tex	HELD	sha256	Drifted 16 lines. Prose gate only.
theory/cryptography/sha256/chapters/chapter_instrument.tex	HELD	sha256	Drifted 12 lines. Prose gate, plus the tree name.
theory/cryptography/sha256/chapters/chapter_operations.tex	HELD	sha256	Drifted 10 lines. Prose gate only.
theory/cryptography/sha256/chapters/chapter_refuted.tex	HELD	sha256	Carries three refutations and a second measurement rule the published copy lacks.
theory/cryptography/sha256/chapters/chapter_spectral.tex	HELD	sha256	81 lines published, 155 here. 74 lines of unpublished measurement.

# ---------------------------------------------------------------------------------------------
# CHAPTERS, NEW SINCE PUBLICATION. Held under the rule, without exception.
# ---------------------------------------------------------------------------------------------
theory/cryptography/sha256/chapters/chapter_boundary.tex	HELD	sha256	327 lines. No published counterpart.
theory/cryptography/sha256/chapters/chapter_moving.tex	HELD	sha256	182 lines. Calibration and the Doppler scan.
theory/cryptography/sha256/chapters/chapter_shadows.tex	HELD	sha256	156 lines. Carries shadow counts that exist in no tracked file.
theory/cryptography/sha256/chapters/chapter_soliton.tex	HELD	sha256	170 lines. The 312-cell result.
theory/cryptography/sha256/chapters/chapter_sources.tex	HELD	sha256	105 lines. SHA-256 against its ablations.
theory/boundary/chapter_thought_experiments_boundary_holds.tex	HELD	boundary	boundary-counting.md, transcribed before any book existed. No longer stranded: theory/held/boundary/main.tex includes it.

# ---------------------------------------------------------------------------------------------
# DOCUMENTS, HELD BY THE RULE AS DOUGLAS STATED IT.
# ---------------------------------------------------------------------------------------------
docs/audit-2026-09-11.md	HELD	audit	Held. It reasons about the version-rolling leak, the clock work, the nonce landscape and the kernel, so it is a concentrated statement of the advantage.

# ---------------------------------------------------------------------------------------------
# THE SIGNING APPARATUS. The three tools are EXTERNAL: they carry no measurement and no subject, and
# the argument they implement is docs/provenance.md's, which is about authorship and dates.
#
# manifest.tsv IS HELD AND THE DISTINCTION MATTERS. The tools disclose nothing. The manifest lists
# every authored path in the tree, so it discloses the shape of the work even with no content in it.
# The anchor is taken over a digest and needs neither, which is why held material can be dated today
# and revealed whenever.
# ---------------------------------------------------------------------------------------------
maint/signing/build_manifest.py	EXTERNAL	provenance	Digests every authored file. Keyless.
maint/signing/verify.py	EXTERNAL	provenance	Integrity, authorship and priority reported separately. Keyless.
maint/signing/sign.ps1	EXTERNAL	provenance	The two commands needing a person. Never touches the passphrase.
maint/signing/manifest.tsv	HELD	provenance	Names every authored path, so it discloses the shape of the tree. The anchor over it does not.

# ---------------------------------------------------------------------------------------------
# NOT ADVANTAGE RESEARCH, AND NOT PRECISION WORK EITHER. A dated prediction about a fluid-dynamics
# result, written before the proof was read and stamped over its own digest. Its only mention of the
# advantage domain is the name of the hash the stamp is taken with.
#
# HELD, and flagged rather than promoted. It carries no advantage and the narrowed rule does not
# reach it, so the argument for EXTERNAL is strong and it is not this session's to make. Worth
# Douglas's attention for a reason of its own: a prediction registered before the answer is read has
# value only if the registration is checkable, and it is already stamped. The classification decides
# whether anyone can check it.
# ---------------------------------------------------------------------------------------------
docs/navier-stokes-prediction.md	HELD	prediction	A dated prediction, stamped before the proof was read. Promotion candidate; not classified here.
docs/version-rolling-signature.md	HELD	chain	Named in the rule, in full. Pool provenance, clock disagreement, per-pool phase.
docs/sha256-topology.md	HELD	sha256	The working ledger. Every claim, every refutation, every open angle.
docs/transform-workbook.md	HELD	sha256	H1 to H20, the hypothesis record the ledger is scoped against.
docs/information-theory.md	HELD	sha256	Thirty-one hypotheses graded on collision entropy.
docs/sha256-boundary-deformation.md	HELD	sha256	The compression state read as a deforming surface.
docs/boundary-counting.md	HELD	sha256	What the boundary holds. Already transcribed as theory/boundary/chapter_thought_experiments_boundary_holds.tex.
docs/round-depth-experiment.md	HELD	sha256	Decay against round count, and where it crosses the detection floor.
docs/reading-transforms.md	HELD	sha256	Every transform a boundary reading passes through.
docs/octant-lexicon.md	HELD	method	The alphabet is general, and every worked example is SHA. See PENDING note.
docs/finer-alphabet.md	HELD	method	Follows the octant lexicon and inherits its subject.
docs/arm-records.md	HELD	method	Defines the arm record. Generic, and demonstrated on the sign octants.
docs/boundary-reading.md	HELD	method	Generic by construction, and its worked example is a hash state.

# ---------------------------------------------------------------------------------------------
# WAS PENDING, NOW HELD. Four were Douglas's own judgment-call list and five more were nominated
# alongside them, all on the grounds that the method is generic while every example is SHA. The
# narrowed rule settles them against publication: a document that teaches a method through the
# advantage work carries the advantage. The candidate for a public document is a NEW one written
# from the precision side, with no corpus, no chain and no SHA in it.
# ---------------------------------------------------------------------------------------------
docs/aiming-the-engine.md	HELD	method	Douglas's list. What six faults in pointing the engine cost, and what that bought.
docs/what-the-instruments-cannot-see.md	HELD	method	Douglas's list. Carries the pi result, which is the most general finding in the corpus.
docs/the-dimensional-transforms.md	HELD	method	Douglas's list. Seven transforms, none creating or destroying information.
docs/failure-modes.md	HELD	method	Douglas's list. The subtractive sieve, stated as apparatus and not as data.
docs/provenance.md	HELD	provenance	Nominated. Authorship, priority and terms. No crypto content at all. Section 8 is unmet work.
docs/viewer-survey.md	HELD	software	Nominated. The room viewer measured before splitting it. Pure software, zero crypto.
docs/figures/state-deformation/README.md	HELD	figures	Nominated. Figure index. Held while its subject is held.
README.md	HELD	repository	Nominated. Describes the viewers, which are the part useful to someone who does not care about SHA-256.
theory/cryptography/sha256/REPRODUCE.md	HELD	sha256	Nominated. Maps every claim to its command. Publishing it names claims that are themselves held.

# ---------------------------------------------------------------------------------------------
# EXTERNAL. THE PRECISION WORK, WHICH IS FAIR.
#
# Douglas, 2026-09-11, narrowing the rule twice in one evening. First "dont include any advantage
# research, that gives away our advantage. precision fair." Then, asked to confirm the reading:
# "we only want our advantage, tilt, deep pattern" and "Ultra precision blockchain info no one else
# has."
#
# So the held thing is BLOCKCHAIN: the tilt, the deep pattern, the chain measurements nobody else
# holds. The arithmetic underneath is not the advantage. A general-purpose multiply does not reveal
# what it is pointed at, and every row below is arithmetic with no corpus, no chain and no SHA in it.
#
# CLASSIFIED BY CONTENT AND NOT BY IMPRESSION. Each file was searched for the advantage domain -
# sha-256, nonce, miner, mining, bitcoin, merkle, difficulty, pool - and every row below returned
# nothing. A first pass counted matches with a looser pattern and reported hits in most of these
# files; those were "sha" inside "shape" and "share". The two files that DO carry the domain are
# listed under them as HELD, so the exclusion is on the record rather than implied by absence.
#
# This is a PROMOTION, which is the direction that can leak, and the manifest requires Douglas's own
# ruling for it. The two quotes above are that ruling. Nothing here was promoted on my judgment.
examples/proofing/series.py	EXTERNAL	arithmetic	The recurrences, with the multiply passed in. Newton reciprocal, inverse root, binary-split Chudnovsky.
examples/proofing/digit_engine.py	EXTERNAL	arithmetic	The host engine. One line names SHA-256 in passing, as a thing natural_constants computes.
examples/proofing/device_engine.py	EXTERNAL	arithmetic	The device engine. Same recurrences, card multiply.
examples/proofing/gpu_multiply.py	EXTERNAL	arithmetic	The NTT multiply over three Proth primes, and the measured host-device crossover.
examples/proofing/twiddle_proof.py	EXTERNAL	number theory	Proth certificates and proved twiddle order for the transform's moduli.
examples/proofing/twiddle_placement.py	EXTERNAL	number theory	Where the roots of unity sit.
examples/proofing/four_step.py	EXTERNAL	arithmetic	The four-step fold. One dimension of N becomes P by Q.
examples/proofing/proth_reach.py	EXTERNAL	number theory	How far one Proth certificate reaches.
examples/proofing/digit_reach.py	EXTERNAL	arithmetic	Where the host multiply stops being the right arm.
examples/proofing/host_bench.py	EXTERNAL	arithmetic	Host timings the device is graded against.
examples/proofing/relation_search.py	EXTERNAL	number theory	Integer relation detection, de Weger LLL, no float anywhere.
examples/proofing/bbp_search.py	EXTERNAL	number theory	BBP-type formula search, gated on rediscovering pi's 1996 formula.
examples/proofing/bbp_sweep.py	EXTERNAL	number theory	The same, swept over constants and bases.
examples/proofing/bbp_scaling.py	EXTERNAL	number theory	What depth costs: precision^2.64, and why the card cannot help this search.
docs/twiddle-proof.md	EXTERNAL	number theory	The transform's constants and their certificates. Its one use of 'chain' is a chain of operations.

# THE PRECISION FILES THAT ARE NOT EXTERNAL. Listed so every exclusion is deliberate and visible,
# because an omission nobody can see is the thing that reads as concealment.
#
# ANISOTROPY IS INTERNAL. Douglas, same evening: "Anything we are using to derive anisotropic
# properties" - "Internal". That is the machinery the advantage is derived WITH, so it is held on the
# same footing as what it derives.
#
# AND THE EXTERNAL BUCKET MUST NOT BE A REDACTED VERSION OF A BIGGER ONE. Douglas: "The people
# working the field will know instantly this is gatekeeping laypeople for malfeasance." He is right,
# and it decides the shape rather than the contents. Cutting the obvious steps out of a paper fools
# nobody who works in the field and insults everyone who does not, so the test is not "what can be
# removed" but "is what remains a whole subject".
#
# What remains is: arbitrary-precision integer arithmetic, an NTT multiply with certified moduli, and
# integer relation detection. That is a complete subject with its own results, its own gates and no
# holes in it. It is not the anisotropy work with the anisotropy taken out.
#
# Spherical harmonics are left out for the opposite reason to secrecy. Douglas: "Anyone not a
# dumbass will know on their own to use spherical harmonics, leave that out." Including an obvious
# choice of basis as though it were a contribution is padding, not disclosure.
examples/proofing/natural_constants.py	EXTERNAL	const	Pi two ways, golden angle, harmonic unit, and round_constants/starting_words recomputed from cube and square roots of the primes. RECLASSIFIED 2026-09-11 on Douglas's ruling: the FIPS tables are the published specification, not the advantage, and tree_tables regrades every copy in the tree against the primes so a corrupted table is easier to catch. Supersedes the earlier HELD row, whose reason was that the file names SHA-256 at all. This also removes the natural_constants split BRANCH_PLAN.md listed as a prerequisite.
examples/proofing/state_deflection.py	HELD	sha256	SHA-256 state trajectories. The instrument, not the arithmetic.
examples/proofing/exact_harmonics.py	HELD	anisotropy	Fixed-point Legendre and the harmonic machinery. Anisotropy derivation, and an obvious basis.
examples/proofing/precision_floor.py	HELD	anisotropy	Demonstrates the floor THROUGH normalised associated Legendre columns. Anisotropy derivation.
examples/proofing/precision_plot.py	HELD	anisotropy	Power per harmonic degree under rotation. Anisotropy derivation.
tools/prose/plain_text.py	EXTERNAL	precision	Pulls prose out of a document and leaves the mathematics behind. No domain content.
src/engine/sha256_core.c	EXTERNAL	sha256-spec	FIPS 180-4 compression function and the eight-lane arm. The published standard as working code. Cites only anchor-sift.md sections already PUBLIC.
src/engine/sha256_core.h	EXTERNAL	sha256-spec	Interface for the above. Both arms compute the same function and a disagreement is a defect.
src/test/kat_validation.cpp	EXTERNAL	sha256-spec	Known-answer tests grading the core against the standard. Publishing a correctness test harms nobody.
theory/precision/chapters/chapter_engine_workbook.tex	EXTERNAL	precision	The engine workbook as a chapter. Category, hypothesis, configuration, refutation, proof. The OBJ category is the catalogue of physical objects and does not terminate.
